Model,Test Accuracy,Test Precision,Test Recall,Test F1
Baseline (Manual),0.8634716069271043,0.9514501891551072,0.8520609824957651,0.8990169794459338
Baseline (Optuna),0.8711236407571487,0.939963614311704,0.8752117447769622,0.9064327485380117
MLP-TF-IDF (Manual),0.851389448248087,0.9284841075794621,0.857707509881423,0.8916935720575286
MLP-TF-IDF (Optuna),0.8586387434554974,0.937731196054254,0.8588368153585545,0.896551724137931
MLP-GloVe (Manual),0.8385018123238018,0.9043683589138135,0.8650479954827781,0.8842712842712843
MLP-GloVe (Optuna),0.8360853805879984,0.8983644859813084,0.8684359119141728,0.883146712604077
